year_week_date,dengue_total,temperature,humidity,rainfall
2020-09-07,288,28.0,70.0,280.0
2020-09-14,296,28.0,70.0,280.0
2020-09-21,199,28.0,70.0,280.0
2020-09-28,13584,27.0,70.0,150.0
2020-10-05,238,27.0,70.0,150.0
2020-10-12,202,27.0,70.0,150.0
2020-10-19,131,27.0,70.0,150.0
2020-10-26,11720,25.0,70.0,50.0
2020-11-02,158,25.0,70.0,50.0
2020-11-09,178,25.0,70.0,50.0
2020-11-16,247,25.0,70.0,50.0
2020-11-23,234,25.0,70.0,50.0
2020-11-30,10631,23.0,70.0,15.0
2020-12-07,388,23.0,70.0,15.0
2020-12-28,286771,22.0,70.0,10.0
2021-01-04,423,22.0,70.0,10.0
2021-01-11,323,22.0,70.0,10.0
2021-01-18,424,22.0,70.0,10.0
2021-01-25,390,22.0,70.0,10.0
2021-02-01,13327,24.0,70.0,20.0
2021-02-08,544,24.0,70.0,20.0
2021-02-15,506,24.0,70.0,20.0
2021-02-22,363,24.0,70.0,20.0
2021-03-01,15489,27.0,70.0,40.0
2021-03-08,454,27.0,70.0,40.0
2021-03-15,500,27.0,70.0,40.0
2021-03-22,468,27.0,70.0,40.0
2021-03-29,16154,29.0,70.0,80.0
2021-04-05,412,29.0,70.0,80.0
2021-04-12,326,29.0,70.0,80.0
2021-04-19,540,29.0,70.0,80.0
2021-04-26,16989,30.0,70.0,150.0
2021-05-03,336,30.0,70.0,150.0
2021-05-10,190,30.0,70.0,150.0
2021-05-17,197,30.0,70.0,150.0
2021-05-24,158,30.0,70.0,150.0
2021-05-31,16875,29.0,70.0,300.0
2021-06-07,343,29.0,70.0,300.0
2021-06-14,387,29.0,70.0,300.0
2021-06-21,661,29.0,70.0,300.0
2021-06-28,15394,28.0,70.0,350.0
2021-07-05,588,28.0,70.0,350.0
2021-07-12,542,28.0,70.0,350.0
2021-07-19,477,28.0,70.0,350.0
2021-07-26,16807,28.0,70.0,320.0
2021-08-02,367,28.0,70.0,320.0
2021-08-09,245,28.0,70.0,320.0
2021-08-16,176,28.0,70.0,320.0
2021-08-23,147,28.0,70.0,320.0
2021-08-30,17521,28.0,70.0,280.0
2021-09-06,198,28.0,70.0,280.0
2021-09-13,213,28.0,70.0,280.0
2021-09-20,229,28.0,70.0,280.0
2021-09-27,21583,27.0,70.0,150.0
2021-10-04,419,27.0,70.0,150.0
2021-10-11,424,27.0,70.0,150.0
2021-10-18,541,27.0,70.0,150.0
2021-10-25,536,27.0,70.0,150.0
2021-11-01,29251,25.0,70.0,50.0
2021-11-08,673,25.0,70.0,50.0
2021-11-15,752,25.0,70.0,50.0
2021-11-22,867,25.0,70.0,50.0
2021-11-29,40448,23.0,70.0,15.0
2021-12-06,1174,23.0,70.0,15.0
2021-12-13,1279,23.0,70.0,15.0
2021-12-20,999,23.0,70.0,15.0
2021-12-27,455901,22.0,70.0,10.0
2022-01-03,1479,22.0,70.0,10.0
2022-01-10,16,22.0,70.0,10.0
2022-01-17,1271,22.0,70.0,10.0
2022-01-24,870,22.0,70.0,10.0
2022-01-31,29187,24.0,70.0,20.0
2022-02-07,720,24.0,70.0,20.0
2022-02-14,674,24.0,70.0,20.0
2022-02-21,546,24.0,70.0,20.0
2022-02-28,25953,27.0,70.0,40.0
2022-03-07,568,27.0,70.0,40.0
2022-03-14,632,27.0,70.0,40.0
2022-03-21,582,27.0,70.0,40.0
2022-03-28,28271,29.0,70.0,80.0
2022-04-04,384,29.0,70.0,80.0
2022-04-11,980,29.0,70.0,80.0
2022-04-18,1007,29.0,70.0,80.0
2022-04-25,30781,30.0,70.0,150.0
2022-05-02,882,30.0,70.0,150.0
2022-05-09,1358,30.0,70.0,150.0
2022-05-16,1425,30.0,70.0,150.0
2022-05-23,1480,30.0,70.0,150.0
2022-05-30,51233,29.0,70.0,300.0
2022-06-06,1796,29.0,70.0,300.0
2022-06-13,2250,29.0,70.0,300.0
2022-06-20,2049,29.0,70.0,300.0
2022-06-27,56603,28.0,70.0,350.0
2022-07-04,2046,28.0,70.0,350.0
2022-07-11,2181,28.0,70.0,350.0
2022-07-18,2018,28.0,70.0,350.0
2022-07-25,1774,28.0,70.0,350.0
2022-08-01,52910,28.0,70.0,320.0
2022-08-08,1215,28.0,70.0,320.0
2022-08-15,656,28.0,70.0,320.0
2022-08-22,0,28.0,70.0,320.0
2022-08-29,86715,28.0,70.0,280.0
2022-09-26,79941,27.0,70.0,150.0
2022-10-31,60614,25.0,70.0,50.0
2022-11-28,41433,23.0,70.0,15.0
2022-12-26,344993,22.0,70.0,10.0
2023-01-30,32666,24.0,70.0,20.0
2023-02-27,32596,27.0,70.0,40.0
2023-03-27,28364,29.0,70.0,80.0
2023-05-01,34755,30.0,70.0,150.0
2023-05-29,51518,29.0,70.0,300.0
2023-06-26,104032,28.0,70.0,350.0
2023-07-31,163010,28.0,70.0,320.0
2023-08-28,142154,28.0,70.0,280.0
2023-09-25,125011,27.0,70.0,150.0
2023-10-30,98202,25.0,70.0,50.0
2023-11-27,56549,23.0,70.0,15.0
2024-01-01,315844,22.0,70.0,10.0
2024-01-29,79151,24.0,70.0,20.0
2024-02-26,79800,27.0,70.0,40.0
2024-04-01,70139,29.0,70.0,80.0
2024-04-29,75917,30.0,70.0,150.0
2024-05-27,68129,29.0,70.0,300.0
2024-07-01,89011,28.0,70.0,350.0
2024-07-29,81624,28.0,70.0,320.0
2024-08-26,103194,28.0,70.0,280.0
2024-09-30,115594,27.0,70.0,150.0
2024-10-28,77878,25.0,70.0,50.0
2024-11-25,16278,23.0,70.0,15.0
2024-12-30,10363,22.0,70.0,10.0
2025-01-27,3084,24.0,70.0,20.0
2025-02-24,3093,27.0,70.0,40.0
